,Название,ИНН,Адрес,ОКВЭД,Деятельность
326,"АО ""ЮТЭК""",8601022317,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,35.14,Торговля электроэнергией
327,"ООО ""ПХК ЦСКА""",7703570430,Г.Москва,93.1,Деятельность в области спорта
328,ПРАВИТЕЛЬСТВО МОСКОВСКОЙ ОБЛАСТИ,7710342058,Московская область,84.11.21,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации"
329,"ООО ""ВОЗДВИЖЕНСКОЕ""",9704136526,Г.МОСКВА,68.10,Покупка и продажа собственного недвижимого имущества
330,"ЗПИФ комбинированный ""ДТ КАПИТАЛ""",7702526051,Г.Москва,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
331,"ООО ""МЕДТЕХ ИИ""",9713011675,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
332,"ПАО ""РОССЕТИ ВОЛГА""",6450925977,САРАТОВСКАЯ ОБЛАСТЬ,35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям
333,"АО ""ЧУВАШСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",2128700232,Чувашская Республика - Чувашия,35.14,Торговля электроэнергией
334,"АО ""ЭНЕРГОСБЫТ ПЛЮС""",5612042824,МОСКОВСКАЯ ОБЛАСТЬ,35.14,Торговля электроэнергией
335,"АО ""ДРАГА""",7704011964,Г.САНКТ-ПЕТЕРБУРГ,66.11.3,Деятельность регистраторов по ведению реестра владельцев ценных бумаг
336,"ООО ""МАГИСТРАЛЬ ДВУХ СТОЛИЦ""",7703793405,Г.Санкт-Петербург,52.21.22,Деятельность по эксплуатации автомобильных дорог и автомагистралей
337,"ООО ""ХИП ХОП КАФЕ""",7703785556,Г.МОСКВА,56.10,Деятельность ресторанов и услуги по доставке продуктов питания
338,"ПАО ""МТС""",7740000076,Г.МОСКВА,61.20,Деятельность в области связи на базе беспроводных технологий
339,"АО ""ИГИРГИ""",7736619522,Г.Москва,72.19,Научные исследования и разработки в области естественных и технических наук прочие
340,"АО ""ГИПРОГОР""",7736564746,Г.МОСКВА,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта"
341,"ООО ""ЦИФРОВЫЕ АКТИВЫ""",7736256452,МОСКВА ГОРОД,70.10.1,Деятельность по управлению финансово-промышленными группами
342,"ПАО ""ФОСАГРО""",7736216869,Г.Москва,64.20,Деятельность холдинговых компаний
343,"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""",8903019871,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.20,Добыча природного газа и газового конденсата
344,"ООО ""РН-СЕРВИС""",7706660065,Г.МОСКВА,09.10,Предоставление услуг в области добычи нефти и природного газа
345,"ООО ""РН-РЕМОНТ НПО""",6340006106,САМАРСКАЯ ОБЛАСТЬ,09.10.9,Предоставление прочих услуг в области добычи нефти и природного газа
346,"ООО ""ВНГ""",8904094487,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
